Grids,R0C0,R0C1,R0C2,R0C3,R0C4,R1C0,R1C1,R1C2,R1C3,R1C4,R2C0,R2C1,R2C2,R2C3,R2C4,R3C0,R3C1,R3C2,R3C3,R3C4,R4C0,R4C1,R4C2,R4C3,R4C4
R76,0,18,23,1,0,2,40,7,8,0,0,6,11,0,0,34,23,48,7,14,21,29,101,144,47
R77,0,9,25,2,0,3,42,4,4,0,0,11,13,0,0,33,21,39,1,8,25,35,127,148,31
R78,0,19,24,2,0,2,34,4,5,0,0,11,20,1,0,31,28,34,8,10,17,28,114,129,37
R79,0,8,37,2,0,0,29,4,7,0,0,5,11,1,0,40,23,49,2,12,17,20,112,145,30
R80,0,11,31,4,0,3,45,4,16,0,0,15,10,0,0,29,32,58,8,11,24,23,98,125,24
R81,0,13,37,3,0,1,22,4,12,0,1,19,15,0,0,32,23,44,7,7,15,23,139,130,30
R82,0,14,39,5,0,5,42,4,6,0,1,23,16,2,0,26,22,45,6,11,11,24,124,124,26
R83,0,20,37,1,0,3,36,7,5,0,1,14,21,1,0,29,39,50,5,14,24,29,91,127,31
R84,0,20,39,5,0,2,30,7,12,0,0,16,31,0,0,32,31,53,7,15,14,15,123,118,23
R85,0,14,37,4,0,3,42,4,10,0,1,21,18,1,0,21,30,73,3,22,14,18,103,115,26
R86,0,19,40,7,0,5,28,8,6,0,2,16,20,2,0,26,30,76,12,17,16,19,124,124,21
R87,0,17,42,3,0,5,40,4,8,0,1,17,24,0,0,32,23,58,8,18,15,28,102,125,29
R88,0,20,54,1,0,10,37,6,4,0,2,12,26,0,0,31,25,80,6,12,23,22,119,125,21
R89,0,18,50,4,0,7,39,6,5,0,3,28,22,2,0,27,29,75,7,10,14,11,111,107,19
R90,0,17,40,6,0,8,29,3,11,0,1,26,18,0,0,21,21,81,5,16,15,34,124,102,24
R91,0,18,52,4,0,12,30,5,11,0,2,21,24,0,0,27,26,83,13,19,17,17,117,77,18
R92,0,21,43,4,0,4,36,7,9,0,3,41,17,0,0,19,24,79,6,11,15,22,117,87,17
R93,0,17,52,5,0,7,38,5,6,0,4,41,27,0,0,21,20,74,11,22,20,18,105,108,34
R94,0,18,50,5,0,3,38,9,17,0,2,24,25,0,0,20,20,81,12,12,16,23,97,80,15
R95,0,13,57,12,0,4,42,1,8,0,3,34,26,1,0,27,27,82,10,22,14,23,106,99,14
R96,0,24,61,7,0,5,39,7,13,0,4,38,23,1,0,16,14,77,13,14,14,21,98,82,20
R97,0,17,66,10,0,8,47,7,15,0,3,39,29,0,0,15,20,84,7,10,17,28,128,75,13
R98,0,19,63,4,0,8,51,8,5,0,6,36,33,1,0,25,24,104,12,14,18,17,117,74,15
R99,0,24,65,9,0,4,41,15,16,0,11,28,35,1,0,18,26,75,9,19,16,20,128,73,19
R100,0,21,56,15,0,1,24,3,9,0,9,45,30,0,0,18,23,68,7,11,14,18,97,80,14
R101,0,18,54,11,0,3,25,9,12,0,12,46,24,0,0,15,24,66,15,16,13,23,100,79,23
R102,0,21,62,13,0,7,34,14,12,0,10,46,33,3,0,16,28,79,14,16,13,14,113,61,14
R103,0,26,58,14,0,5,44,6,9,0,10,40,29,1,0,13,27,72,16,11,10,18,107,65,14
