Grids,R0C0,R0C1,R0C2,R0C3,R0C4,R0C5,R1C0,R1C1,R1C2,R1C3,R1C4,R1C5,R2C0,R2C1,R2C2,R2C3,R2C4,R2C5,R3C0,R3C1,R3C2,R3C3,R3C4,R3C5,R4C0,R4C1,R4C2,R4C3,R4C4,R4C5
B48,0,1,10,22,0,33,0,19,26,34,14,13,4,9,11,3,27,106,1,2,8,9,51,257,21,2,14,16,41,0
B49,0,7,12,13,0,27,0,22,18,26,11,27,6,13,8,4,37,119,6,6,17,9,53,304,28,1,13,25,27,0
B50,0,10,6,26,0,35,0,11,25,29,14,22,11,9,9,2,27,109,2,3,10,15,69,370,28,1,16,21,24,2
B51,0,2,19,21,0,43,0,24,24,20,6,31,4,15,13,0,32,137,1,3,14,16,56,397,43,1,19,17,44,1
B52,0,4,5,13,0,24,1,21,23,26,12,17,10,18,11,5,42,173,5,3,18,14,81,424,52,0,12,19,39,3
B53,0,6,10,13,0,32,0,19,23,22,19,28,13,12,12,4,51,178,1,5,12,8,89,446,59,1,17,20,39,4
B54,0,2,13,10,0,28,1,15,16,32,13,24,18,18,16,1,56,209,0,1,19,16,123,436,66,0,24,27,32,4
B55,0,7,9,20,0,20,1,19,16,32,12,31,13,15,8,5,80,193,7,4,15,7,112,433,76,2,24,19,38,1
B56,0,9,12,16,0,28,0,13,22,26,16,25,27,15,13,4,112,206,3,3,10,11,121,401,101,1,28,17,49,5
B57,0,9,7,19,0,23,0,12,18,27,22,34,41,19,9,1,116,171,9,7,14,19,130,369,111,6,33,23,37,15
B58,0,9,13,14,0,25,2,16,19,36,23,40,38,36,13,1,145,165,10,5,15,20,144,326,121,7,22,16,39,17
B59,0,11,7,22,0,27,0,9,26,42,27,37,43,35,12,5,174,178,25,11,12,15,164,313,132,8,32,20,43,21
B60,0,10,12,22,0,38,1,11,20,25,32,40,59,41,11,4,215,149,28,20,15,15,169,317,165,22,27,24,46,46
B61,0,5,9,21,0,35,2,9,34,27,42,60,106,62,12,9,235,145,34,20,13,13,203,314,170,18,28,14,64,59
B62,0,7,11,13,0,30,0,14,16,22,29,67,115,88,11,5,228,114,60,29,12,16,147,291,207,36,39,25,56,81
B63,0,6,14,16,0,24,4,10,25,32,56,61,137,104,12,8,246,105,81,40,18,12,181,251,220,62,38,22,89,116
B64,0,13,15,15,0,30,3,14,24,24,58,76,186,155,18,3,228,90,113,51,14,12,182,239,276,105,42,16,93,132
B65,0,9,11,13,0,33,4,5,32,24,82,87,198,217,21,6,249,66,167,58,20,15,154,203,337,145,55,25,80,209
B66,0,11,16,8,0,22,2,16,33,29,79,84,220,209,18,4,251,76,257,86,8,24,159,185,387,209,62,23,118,212
B67,0,8,9,14,0,28,13,16,24,30,91,97,249,244,12,9,258,63,289,98,13,13,152,160,421,247,59,17,128,285
B68,0,8,12,16,0,27,17,8,47,16,101,130,286,356,20,8,234,69,356,124,11,11,152,163,483,362,71,15,145,318
B69,0,7,12,7,0,25,29,20,55,34,112,134,282,342,31,10,179,49,418,164,15,15,142,94,478,465,105,16,210,382
B70,0,7,12,15,0,19,34,16,70,31,129,149,311,387,38,5,162,42,488,218,12,19,127,92,491,581,89,29,228,400
B71,0,9,10,19,0,30,61,19,76,24,128,160,300,431,47,14,148,40,593,255,21,17,147,45,492,652,129,24,213,438
B72,1,7,7,20,0,27,85,20,78,17,166,136,307,413,66,13,96,42,582,292,14,25,131,32,510,719,160,32,246,425
B73,0,8,19,11,0,24,123,26,105,27,130,158,375,398,55,14,91,37,574,291,22,21,110,21,429,726,159,41,274,471
B74,0,8,7,12,0,27,127,28,135,34,140,160,347,374,90,14,78,38,573,324,12,22,109,13,377,689,164,29,284,451
B75,2,11,9,19,0,26,174,40,176,25,144,161,370,381,128,27,67,33,560,366,18,29,97,15,336,691,191,35,290,478
B76,4,10,16,10,0,31,185,55,188,24,154,141,363,335,148,19,50,24,496,390,16,44,63,3,262,554,185,34,302,487
B77,6,12,7,22,0,21,228,89,224,20,151,144,398,348,161,37,48,30,434,323,23,51,88,5,197,457,189,58,336,416
B78,9,15,14,11,0,23,286,111,227,38,154,115,450,307,179,45,34,21,325,300,12,79,49,3,126,339,200,72,263,335
B79,11,18,7,11,0,39,325,152,307,26,159,134,420,264,224,60,29,18,306,271,21,81,57,6,101,239,191,105,271,346
B80,21,25,4,15,0,32,326,183,334,50,167,124,343,227,283,76,21,22,217,243,23,81,56,3,59,136,229,124,243,333
B81,27,46,18,16,0,35,363,222,336,58,198,122,325,253,267,102,23,27,166,229,16,108,55,2,43,124,180,134,226,271
B82,59,63,16,22,0,40,434,273,316,64,190,105,296,176,306,133,19,20,102,201,27,143,47,1,17,82,218,223,195,230
B83,79,86,22,20,0,19,438,341,314,68,199,126,265,154,325,162,19,19,70,164,29,163,30,2,16,57,194,254,147,211
B84,104,137,24,19,0,39,474,420,325,80,184,155,219,114,309,207,15,12,51,161,38,181,36,0,12,29,221,278,146,183
B85,138,181,22,23,0,39,504,437,276,104,199,154,152,87,339,243,12,24,36,154,52,219,44,1,7,20,200,319,108,138
B86,192,256,36,25,0,44,495,475,284,103,217,164,119,57,345,303,17,20,26,125,59,214,33,2,2,21,189,354,83,104
B87,253,294,29,33,3,48,487,510,261,112,225,166,76,46,309,303,13,11,21,148,75,221,41,2,3,12,199,381,77,86
B88,278,332,47,46,0,34,475,509,251,111,252,195,55,34,301,317,17,26,3,113,89,238,27,1,3,5,186,386,54,51
B89,403,403,58,42,1,43,417,491,191,92,238,185,38,20,321,334,10,14,6,111,116,283,29,4,2,3,202,361,52,34
B90,470,421,70,48,3,44,430,439,162,96,236,196,29,16,251,336,7,16,3,96,126,263,33,2,1,1,191,380,35,33
B91,564,432,82,52,18,38,385,377,169,94,215,180,8,8,239,292,9,23,5,74,159,273,40,7,1,2,181,372,48,18
B92,666,442,101,64,12,55,277,342,118,66,240,194,9,9,262,298,14,27,2,71,193,295,38,3,1,1,158,312,44,13
B93,669,457,131,53,29,44,238,235,101,57,247,219,6,2,219,304,11,19,2,50,214,309,35,0,2,1,155,290,36,9
B94,684,462,128,53,40,68,174,197,103,48,250,161,5,8,236,288,14,19,1,38,260,313,37,1,4,1,151,250,36,7
B95,736,461,155,66,57,67,129,177,78,59,237,186,8,3,202,243,17,23,0,30,284,339,26,2,0,1,150,201,28,4
B96,659,412,206,50,88,85,89,145,62,34,225,198,5,4,182,221,11,22,1,16,319,343,47,2,1,1,133,180,33,1
B97,549,437,219,74,134,126,57,79,45,45,226,195,6,8,139,191,12,13,0,17,301,340,29,1,2,0,117,156,23,1
B98,453,361,298,83,167,179,54,52,38,40,175,159,4,4,117,180,8,18,4,11,301,276,40,3,2,0,90,107,20,0
B99,358,312,362,84,228,215,16,35,31,50,164,169,4,3,86,115,13,22,0,9,241,233,38,1,0,0,74,97,16,0
B100,252,250,437,116,269,287,12,14,32,35,117,123,4,5,80,107,18,9,0,6,226,197,28,0,0,0,71,62,21,0
B101,163,173,484,149,339,363,4,15,20,30,100,115,4,3,39,83,19,19,0,8,206,155,30,3,2,1,45,78,20,1
B102,92,148,472,145,387,437,4,12,20,39,72,112,3,2,36,56,15,11,0,4,146,131,36,1,2,0,45,52,18,0
B103,60,118,518,183,418,468,0,4,20,23,42,84,3,5,41,36,12,15,1,4,115,84,27,3,1,0,33,49,27,1
B104,23,73,498,215,491,547,0,9,13,32,33,65,1,2,16,23,15,18,1,2,91,81,31,1,2,0,37,29,33,0
B105,11,53,511,232,529,486,0,4,9,35,16,37,4,2,23,34,16,7,1,1,64,51,36,3,2,0,25,25,28,0
B106,3,35,464,259,636,452,1,2,14,30,6,32,2,2,21,11,15,15,1,3,51,38,39,4,0,0,38,26,27,0
B107,0,26,401,314,610,378,0,4,11,17,5,20,1,1,18,14,17,14,1,5,45,35,21,0,1,1,29,18,27,1
B108,1,17,321,305,595,254,1,4,12,28,3,18,4,7,15,16,15,17,1,2,26,39,28,3,0,0,33,21,25,0
B109,0,15,222,315,548,212,0,4,23,22,4,11,3,5,25,16,18,15,1,8,29,23,33,1,0,0,30,23,18,0
B110,0,13,181,353,570,180,0,9,16,28,0,11,4,5,16,23,22,17,0,2,29,17,27,2,2,0,32,19,29,1
B111,0,9,121,395,424,110,0,4,18,23,3,8,2,2,15,14,19,17,0,2,15,18,34,2,1,0,25,18,33,0
B112,0,6,86,418,370,89,0,12,12,20,3,17,6,2,13,17,17,10,1,3,15,20,31,1,1,0,21,22,14,1
B113,0,9,54,389,303,63,0,5,17,22,3,7,2,3,9,16,18,13,0,3,23,15,34,1,1,1,18,15,30,0
B114,0,6,50,368,239,52,0,2,12,13,1,11,4,3,13,11,18,16,2,3,18,21,39,0,2,0,29,22,39,0
B115,0,9,27,269,179,30,0,3,12,22,1,11,2,2,18,8,27,12,0,7,15,16,35,2,0,0,12,19,19,0
B116,0,9,15,237,127,12,2,7,14,19,1,7,6,1,15,11,22,9,1,1,10,19,36,1,0,0,17,17,21,0
B117,0,4,26,178,73,26,0,10,9,17,1,13,1,4,14,12,21,14,1,3,17,23,29,1,0,0,22,8,34,0
B118,0,2,14,98,60,29,1,5,15,14,0,12,5,3,13,15,23,11,1,0,11,13,33,1,2,0,19,15,21,1
B119,0,5,10,70,22,20,0,5,11,12,1,11,3,4,11,10,17,12,0,1,14,8,33,2,4,0,19,16,27,3
B120,0,7,9,49,15,14,0,5,12,17,2,8,1,2,12,11,26,12,1,3,12,15,39,4,1,0,20,13,22,0
B121,0,9,15,20,4,16,0,6,12,15,0,10,3,2,8,12,32,15,2,4,14,13,43,2,2,0,12,14,19,0
B122,0,5,12,28,5,13,1,7,13,14,0,8,5,3,11,9,28,18,1,4,20,6,34,1,4,0,13,10,22,1
B123,0,6,6,16,4,15,0,7,11,15,0,9,6,1,4,7,25,14,2,1,14,2,32,2,0,0,9,17,17,0
B124,0,6,9,13,1,20,0,9,9,22,3,8,5,2,8,11,28,10,1,1,12,6,32,2,2,0,17,18,21,0
B125,0,8,8,21,0,14,0,8,5,18,0,6,1,4,11,9,24,13,1,2,18,10,37,2,1,0,13,9,21,1
B126,0,4,7,22,1,22,0,5,9,28,2,8,8,3,9,14,36,18,0,2,13,5,28,1,3,0,6,11,17,1
B127,0,5,11,11,0,12,0,4,6,18,1,5,4,6,11,15,25,16,0,4,19,7,47,1,2,0,15,8,18,0
B128,0,1,9,12,1,15,0,3,11,5,1,12,2,4,8,8,21,14,0,8,14,5,38,0,1,0,10,10,26,0
B129,0,7,5,21,0,14,0,3,8,14,2,8,2,3,6,13,32,15,0,6,12,12,34,1,4,0,12,12,21,0
B130,0,4,1,18,0,22,0,3,10,20,2,9,2,2,10,12,43,14,0,3,12,13,39,0,5,0,13,11,15,0
B131,0,4,7,12,0,9,0,5,7,12,1,6,2,3,6,15,17,9,0,3,14,9,46,2,4,0,12,12,31,1
B132,0,7,5,10,0,11,0,3,7,11,0,7,4,3,11,14,26,12,0,1,9,5,34,1,2,0,9,14,17,0
B133,0,4,7,12,0,16,0,2,7,14,0,3,5,3,5,11,16,15,0,4,9,4,44,2,2,0,4,10,25,0
B134,0,6,6,12,0,5,0,7,4,19,2,7,2,4,10,12,25,13,1,2,13,5,33,3,6,0,13,13,20,0
