Grids,R0C0,R0C1,R0C2,R0C3,R0C4,R0C5,R1C0,R1C1,R1C2,R1C3,R1C4,R1C5,R2C0,R2C1,R2C2,R2C3,R2C4,R2C5,R3C0,R3C1,R3C2,R3C3,R3C4,R3C5,R4C0,R4C1,R4C2,R4C3,R4C4,R4C5
B204,0,0,2,2,0,0,0,2,3,4,0,0,0,5,9,0,4,25,1,29,2,1,8,0,2,0,1,3,3,1
B205,0,1,1,2,0,0,0,0,7,5,0,3,0,8,5,0,3,34,3,32,3,2,6,0,1,0,3,1,0,1
B206,0,1,1,1,0,0,0,1,6,4,0,0,0,11,5,0,1,23,1,44,3,1,4,0,3,0,1,1,1,1
B207,0,0,0,2,0,0,0,0,7,5,0,0,0,6,2,0,0,21,6,55,5,0,2,0,2,0,2,0,1,4
B208,0,1,3,0,0,2,0,1,2,3,0,2,0,9,4,0,3,17,2,40,1,1,6,0,0,0,1,0,1,0
B209,0,0,3,2,0,0,0,1,7,5,0,4,0,7,12,1,0,23,3,40,3,0,1,0,1,0,0,0,0,2
B210,0,0,4,1,0,0,0,1,3,6,0,1,0,8,8,2,3,16,0,38,4,1,2,0,1,0,0,0,1,2
B211,0,1,1,2,0,0,0,0,4,5,0,0,0,8,6,0,4,22,1,35,4,1,3,0,1,0,1,0,1,0
B212,0,1,2,1,0,0,0,0,3,4,0,0,0,4,13,0,0,20,4,28,5,0,4,0,1,0,0,0,3,1
B213,0,0,2,1,0,0,0,0,4,3,0,1,0,6,9,1,2,19,1,23,4,0,3,0,0,0,2,0,0,1
B214,0,0,2,4,0,0,0,0,1,2,1,6,0,9,9,0,1,24,4,25,4,0,6,0,3,0,0,2,2,1
B215,0,0,0,1,0,0,0,1,2,3,0,0,0,2,6,0,1,14,2,25,1,1,6,0,1,0,0,1,0,0
B216,0,0,0,0,0,0,0,0,7,3,0,2,0,2,6,2,3,14,3,30,6,3,3,0,2,0,2,2,2,2
B217,0,1,2,3,0,1,0,0,5,1,0,0,0,5,8,0,0,14,1,34,3,0,3,0,2,0,0,3,3,0
B218,0,1,1,0,0,0,0,0,1,5,0,3,0,5,6,0,0,17,1,21,2,0,5,0,2,0,2,1,1,0
B219,0,0,3,1,0,1,0,0,7,4,0,1,0,4,5,0,3,18,2,15,2,2,1,0,1,0,1,1,0,1
B220,0,1,2,2,0,1,0,0,5,2,1,2,0,3,9,0,2,24,0,22,3,0,2,0,3,0,0,0,2,2
B221,0,0,1,0,0,2,0,0,7,4,0,0,0,5,6,2,1,18,3,14,8,1,4,0,0,0,0,2,2,2
B222,0,0,1,0,0,0,0,0,3,1,0,3,0,1,3,1,2,21,3,14,4,0,2,0,0,0,0,0,0,0
B223,0,0,1,0,0,0,0,1,5,4,1,1,0,1,3,0,0,23,3,15,6,0,3,0,1,0,0,1,3,1
B224,0,0,0,1,0,1,0,0,1,2,0,3,0,1,4,0,0,17,1,9,5,1,4,0,1,0,0,0,1,3
B225,0,1,0,0,0,0,0,0,1,3,0,0,0,0,5,0,1,19,2,13,1,0,4,0,0,0,0,0,0,0
B226,0,2,1,1,0,0,0,0,2,1,0,0,0,1,7,0,1,13,0,10,3,1,4,0,0,0,0,0,1,2
B227,0,0,0,1,0,1,0,0,5,1,0,2,0,0,7,1,1,18,3,8,7,2,6,0,0,0,0,1,3,0
B228,0,0,0,0,0,2,0,0,3,1,0,1,0,1,4,0,2,17,1,10,3,0,7,0,1,0,0,0,0,0
B229,0,0,1,0,0,1,0,0,1,2,0,1,0,0,7,0,1,14,1,10,4,0,4,0,0,0,0,0,2,2
B230,0,0,2,0,0,4,0,1,2,0,0,2,0,0,12,0,0,20,1,8,4,1,5,0,3,0,0,1,1,0
B231,0,0,1,0,0,2,0,0,3,1,0,3,0,0,5,2,1,16,0,7,3,1,4,0,0,0,1,1,0,1
B232,0,1,0,1,0,0,0,0,2,4,0,2,0,1,10,0,1,13,1,7,6,0,11,1,0,0,1,1,1,1
B233,0,1,1,0,0,1,0,1,4,1,0,1,0,1,8,1,1,11,3,6,3,0,3,1,0,0,2,1,2,1
B234,0,0,0,0,0,0,0,0,2,2,0,4,0,1,4,0,3,11,1,15,4,1,6,1,0,0,0,0,0,1
B235,0,0,0,1,0,1,0,0,2,4,0,4,0,2,1,0,0,14,1,7,3,1,9,0,0,0,0,1,1,2
B236,0,0,0,1,0,0,0,0,4,3,1,0,0,0,3,0,0,10,0,4,9,0,5,0,0,0,0,3,0,1
B237,0,1,0,0,0,0,0,0,3,0,0,2,0,0,6,0,0,12,0,10,6,0,6,1,0,0,0,1,2,0
B238,0,2,0,0,0,0,0,0,2,0,1,0,0,0,5,1,2,15,1,7,4,0,3,0,1,0,0,1,3,0
B239,0,0,0,0,0,0,0,1,3,0,0,0,0,0,6,0,1,15,1,5,5,1,3,0,0,0,0,0,1,2
B240,0,0,1,0,0,1,0,0,3,1,1,3,0,0,5,0,1,15,0,4,3,1,3,0,0,0,1,1,1,3
B241,0,0,0,0,0,1,0,0,4,2,0,3,0,1,4,0,1,9,2,5,5,0,3,0,1,0,0,4,2,1
B242,0,1,4,0,0,1,0,1,2,2,0,1,0,0,2,0,0,8,1,3,2,0,4,0,0,0,0,1,1,3
B243,0,0,0,0,0,3,0,0,3,1,0,2,0,0,3,0,0,10,0,12,5,0,3,1,0,0,0,1,2,0
B244,0,0,3,0,0,1,0,0,1,0,0,1,0,0,3,0,1,6,0,4,7,1,7,0,0,0,0,0,2,0
B245,0,1,2,0,0,0,0,0,1,1,0,1,0,0,3,1,2,8,1,5,6,2,3,0,0,0,0,2,0,1
B246,0,1,1,0,0,0,0,0,1,1,0,2,0,0,2,0,3,10,0,3,8,0,7,0,0,0,0,0,0,1
B247,0,0,0,0,0,2,0,0,6,1,0,3,0,0,3,0,1,8,2,4,2,1,9,0,0,0,0,1,2,0
B248,0,0,0,0,0,0,0,0,4,2,1,2,0,0,8,0,3,16,0,9,8,3,7,0,0,0,0,0,1,0
B249,0,1,1,0,0,1,0,1,4,3,1,4,0,2,2,0,2,11,0,7,2,0,3,0,0,0,0,0,1,1
B250,0,0,2,0,0,0,0,0,6,2,0,10,0,0,13,0,2,25,1,6,9,1,13,0,0,0,2,0,2,2
B251,0,0,0,0,0,0,0,0,8,2,1,6,0,0,3,1,2,21,0,5,4,3,10,0,0,0,2,1,0,1
B252,0,0,0,0,0,0,0,0,5,0,1,19,0,0,3,0,1,14,0,1,2,1,13,1,0,0,0,1,1,2
B253,0,2,0,1,0,0,0,0,10,2,0,16,0,1,11,1,1,17,0,4,10,0,15,2,0,0,1,1,1,0
B254,0,0,1,0,0,0,0,0,6,0,0,17,0,0,1,0,3,9,0,1,3,3,6,0,0,0,0,1,0,0
B255,0,1,3,0,0,0,0,0,43,6,1,69,0,0,28,3,4,39,4,8,23,9,49,2,0,0,0,3,1,5
G0,0,0,0,6,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0
G1,0,0,0,4,0,0,0,0,0,3,0,0,0,0,0,2,3,0,0,0,0,0,3,0,0,0,0,0,0,0
G2,0,0,0,10,0,0,0,0,0,2,0,0,0,0,0,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0
G3,0,0,0,6,0,0,0,0,0,4,1,0,0,0,0,4,6,0,0,0,0,0,2,0,0,0,0,0,0,0
G4,0,0,0,6,0,0,0,0,0,6,0,0,0,0,0,6,5,0,0,0,0,0,3,0,0,0,0,0,0,0
G5,0,0,0,10,0,0,0,0,0,11,0,0,0,0,0,3,6,0,0,0,0,0,5,0,0,0,0,0,0,0
G6,0,0,0,5,0,0,0,0,0,22,0,0,0,0,0,14,7,0,0,0,0,0,5,0,0,0,0,0,0,0
G7,0,0,0,8,0,0,0,0,0,18,0,0,0,0,0,19,16,0,0,0,0,0,8,0,0,0,0,0,0,0
G8,0,0,0,9,0,0,0,0,0,26,1,0,0,0,0,23,18,0,0,0,0,0,8,0,0,0,0,0,0,0
G9,0,0,1,10,0,0,0,0,0,38,2,0,0,0,0,26,15,0,0,0,0,0,16,0,0,0,0,0,0,0
G10,0,0,0,10,0,0,0,0,0,54,0,0,0,0,0,43,28,0,0,0,0,0,7,0,0,0,0,0,0,0
G11,0,0,0,9,0,0,0,0,0,68,1,0,0,0,0,47,25,0,0,0,0,0,17,0,0,0,0,0,0,0
G12,0,0,1,7,0,0,0,0,0,74,2,0,0,0,0,54,41,0,0,0,0,0,9,0,0,0,0,0,0,0
G13,0,0,0,16,0,0,0,0,0,70,0,0,0,0,0,43,35,0,0,0,0,1,14,0,0,0,0,0,0,0
G14,0,0,0,17,0,0,0,0,0,64,3,0,0,0,0,45,33,0,0,0,0,0,29,0,0,0,0,0,0,0
G15,0,0,0,8,0,0,0,0,0,57,1,0,0,0,0,29,53,0,0,0,0,0,20,0,0,0,0,0,0,0
G16,0,0,0,14,0,0,0,0,0,68,1,0,0,0,0,34,40,0,0,0,0,0,17,0,0,0,0,0,0,0
G17,0,0,0,15,0,0,0,0,0,59,0,0,0,0,0,34,49,0,0,0,0,1,6,0,0,0,0,0,0,0
G18,0,0,1,12,0,0,0,0,0,62,3,0,0,0,0,35,54,0,0,0,0,0,14,0,0,0,0,0,0,0
G19,0,0,2,14,0,0,0,0,0,50,0,0,0,0,0,29,48,0,0,0,0,0,12,0,0,0,0,0,0,0
G20,0,0,2,25,0,0,0,0,0,49,2,0,0,0,0,34,54,0,0,0,0,0,14,0,0,0,0,0,0,0
G21,0,0,0,13,0,0,0,0,0,40,2,0,0,0,0,29,52,0,0,0,0,0,12,0,0,0,0,0,0,0
G22,0,0,0,20,0,0,0,0,0,43,2,0,0,0,0,31,50,0,0,0,0,0,9,0,0,0,0,0,0,0
G23,0,0,0,14,0,0,0,0,0,39,2,0,0,0,0,28,51,0,0,0,0,0,8,0,0,0,0,0,0,0
G24,0,0,1,5,0,0,0,0,0,33,4,0,0,0,0,27,33,0,0,0,0,0,5,0,0,0,0,0,0,0
G25,0,0,0,12,0,0,0,0,0,28,0,0,0,0,0,24,41,0,0,0,0,0,10,0,0,0,0,0,0,0
G26,0,0,1,21,0,0,0,0,0,36,5,0,0,0,0,17,21,0,0,0,0,0,11,0,0,0,0,0,0,0
G27,0,0,1,13,0,0,0,0,0,36,5,0,0,0,0,20,21,0,0,0,0,0,3,0,0,0,0,0,0,0
G28,0,0,0,8,0,0,0,0,0,24,5,0,0,0,0,17,23,0,0,0,0,0,9,0,0,0,0,0,0,0
G29,0,0,2,7,0,0,0,0,0,29,3,0,0,0,0,23,32,0,0,0,0,0,5,0,0,0,0,0,0,0
G30,0,0,0,14,0,0,0,0,0,27,2,0,0,0,0,17,16,0,0,0,0,1,6,0,0,0,0,0,0,0
G31,0,0,0,10,0,0,0,0,0,27,4,0,0,0,0,18,23,0,0,0,1,0,4,0,0,0,0,0,0,0
G32,0,0,0,12,0,0,0,0,0,35,3,0,0,0,0,18,22,0,0,0,0,0,5,0,0,0,0,0,0,0
G33,0,0,2,11,0,0,0,0,0,30,3,0,0,0,0,20,16,0,0,0,0,0,5,0,0,0,0,0,0,0
G34,0,0,0,14,0,0,0,0,0,24,6,0,0,0,0,25,24,0,0,0,0,0,9,0,0,0,0,0,0,0
G35,0,0,0,19,0,0,0,0,0,14,8,0,0,0,0,15,11,0,0,0,0,0,4,0,0,0,0,0,0,0
G36,0,0,0,9,0,0,0,0,0,24,5,0,0,0,0,17,13,0,0,0,0,0,5,0,0,0,0,0,0,0
G37,0,0,1,14,0,0,0,0,0,23,7,0,0,0,0,19,19,0,0,0,0,1,4,0,0,0,0,0,0,0
G38,0,0,0,11,0,0,0,0,0,24,3,0,0,0,0,10,13,0,0,0,0,0,6,0,0,0,0,0,0,0
G39,0,0,1,13,0,0,0,0,0,15,10,0,0,0,0,13,12,0,0,0,0,1,7,0,0,0,0,0,0,0
G40,0,0,0,8,0,0,0,0,0,11,5,0,0,0,0,13,8,0,0,0,0,1,9,0,0,0,0,0,0,0
G41,0,0,1,13,0,0,0,0,0,28,8,0,0,0,0,8,11,0,0,0,0,0,5,0,0,0,0,0,0,0
G42,0,0,2,10,0,0,0,0,0,23,10,0,0,0,0,13,8,0,0,0,0,0,5,0,0,0,0,0,0,0
G43,0,0,1,16,0,0,0,0,0,15,5,0,0,0,0,12,8,0,0,0,0,0,9,0,0,0,0,0,0,0
G44,0,0,1,12,0,0,0,0,0,19,8,0,0,0,0,12,14,0,0,0,0,0,5,0,0,0,0,0,1,0
G45,0,0,1,14,0,0,0,0,0,19,9,0,0,0,0,11,9,0,0,0,0,1,7,0,0,0,0,0,0,0
G46,0,0,0,3,0,0,0,0,0,24,1,0,0,0,0,15,11,0,0,0,0,0,4,0,0,0,0,0,0,0
G47,0,0,0,8,0,0,0,0,0,26,1,0,0,0,0,10,10,0,0,0,0,0,6,0,0,0,0,0,0,0
G48,0,0,0,9,0,0,0,0,0,20,5,0,0,0,0,14,13,0,0,0,0,1,4,0,0,0,0,0,0,0
G49,0,0,2,8,0,0,0,0,0,19,5,0,0,0,0,16,13,0,0,0,0,0,5,0,0,0,0,0,0,0
G50,0,0,0,9,0,0,0,0,0,30,6,0,0,0,0,6,7,0,0,0,0,0,5,0,0,0,0,0,1,0
G51,0,0,0,9,0,0,0,0,0,23,6,0,0,0,0,11,10,0,0,0,0,0,3,0,0,0,0,0,0,0
G52,0,0,0,14,0,0,0,0,0,26,4,0,0,0,0,12,10,0,0,0,0,1,3,0,0,0,0,0,1,0
G53,0,0,0,9,0,0,0,0,0,22,5,0,0,0,0,6,11,0,0,0,0,0,3,0,0,0,0,0,1,0
G54,0,0,1,11,0,0,0,0,0,30,4,0,0,0,0,13,7,0,0,0,0,1,7,0,0,0,0,0,3,0
G55,0,0,1,18,0,0,0,0,0,17,7,0,0,0,0,9,11,0,0,0,0,0,1,0,0,0,0,0,4,0
G56,0,0,0,11,0,0,0,0,0,25,8,0,0,0,0,8,11,0,0,0,0,1,5,0,0,0,0,1,1,0
G57,0,0,1,17,0,0,0,0,0,14,10,0,0,0,0,11,13,0,0,0,0,2,3,0,0,0,0,1,2,0
G58,0,0,0,9,0,0,0,0,0,24,5,0,0,0,0,9,13,0,0,0,0,1,4,0,0,0,0,1,3,0
G59,0,0,0,10,0,0,0,0,0,20,6,0,0,0,0,10,6,0,0,0,0,0,6,0,0,0,0,1,3,0
G60,0,0,2,13,0,0,0,0,0,25,4,0,0,0,0,17,7,0,0,0,0,2,2,0,0,0,0,1,5,0
G61,0,0,2,8,0,0,0,0,0,29,6,0,0,0,0,13,12,0,1,0,0,0,3,0,0,0,0,0,4,0
G62,0,0,0,12,0,0,0,0,0,31,7,0,0,0,0,13,11,1,0,0,0,1,6,0,0,0,0,0,0,0
G63,0,0,0,10,0,0,0,0,0,18,3,0,0,0,0,11,7,0,0,0,0,0,2,0,0,0,0,0,7,0
G64,0,0,1,16,0,0,0,0,0,26,5,0,0,0,0,7,12,0,0,0,0,0,5,0,0,0,0,0,4,0
G65,0,0,2,11,0,0,0,0,0,29,4,0,0,0,0,8,11,0,0,0,0,1,8,0,1,0,0,0,6,0
G66,0,0,2,14,0,0,0,0,0,19,5,0,0,0,0,14,6,0,1,0,1,1,3,1,0,0,0,1,8,0
G67,0,0,0,15,0,0,0,0,0,18,6,0,0,0,0,6,8,1,0,0,1,0,3,1,1,0,0,1,6,0
G68,0,0,1,12,0,0,0,0,0,20,12,0,0,0,0,13,10,0,1,1,0,0,2,0,0,0,0,1,7,0
G69,0,0,0,6,0,0,0,0,0,15,7,0,0,0,0,9,13,1,0,0,2,2,6,1,0,0,0,1,11,0
G70,0,0,1,12,0,0,0,0,0,20,5,0,0,0,0,7,14,0,0,0,1,1,5,0,0,0,0,0,7,0
G71,0,0,1,10,0,0,0,0,0,30,5,0,0,0,0,8,6,1,0,0,3,0,6,0,2,0,0,0,22,0
G72,0,0,0,6,0,0,0,0,0,27,7,0,0,0,0,7,20,1,1,1,3,1,6,1,3,0,0,1,10,0
G73,0,0,0,11,0,0,0,0,0,22,5,0,0,0,0,13,13,2,1,0,1,3,7,1,1,0,0,1,19,0
G74,0,0,0,5,0,0,0,0,0,16,3,0,0,0,0,10,12,1,0,0,2,2,7,0,0,0,0,0,15,0
G75,0,0,0,13,0,0,0,0,0,17,6,0,0,0,0,7,9,0,0,1,2,3,7,0,1,0,0,1,16,0
G76,0,0,1,9,0,0,0,0,0,20,4,0,0,0,0,12,12,1,0,2,9,2,9,2,1,0,0,0,21,0
G77,0,0,3,11,0,0,0,0,0,24,5,0,0,0,0,14,13,1,1,1,5,0,12,3,1,0,0,0,21,0
G78,0,0,1,8,0,0,0,0,0,28,7,0,0,0,0,10,13,2,0,0,10,3,8,1,1,0,0,0,21,0
G79,0,0,1,11,0,0,0,0,0,25,2,0,0,0,0,17,15,4,0,0,8,2,10,3,0,0,0,0,25,0
G80,0,0,0,5,0,0,0,0,0,25,3,0,0,0,0,18,15,1,2,0,9,3,8,2,1,0,0,1,25,0
G81,0,0,2,17,0,0,0,0,0,29,3,0,0,0,0,8,11,1,0,1,7,4,8,1,2,0,0,0,27,1
G82,0,0,0,11,0,0,0,0,0,24,6,0,3,0,0,15,11,0,0,0,15,6,11,2,0,0,0,2,22,0
G83,0,0,0,4,0,0,0,0,0,32,9,0,0,0,0,17,16,3,0,1,12,2,13,3,2,0,0,1,30,0
G84,0,0,0,12,0,0,0,0,0,19,8,0,0,0,0,17,13,4,2,1,11,4,6,1,1,0,0,1,31,0
G85,0,0,1,13,0,0,0,0,0,18,4,0,1,0,0,15,19,5,2,2,16,5,10,3,1,0,0,2,31,0
G86,0,0,0,12,0,0,0,0,0,21,4,0,1,0,0,21,17,5,1,1,20,5,9,2,4,0,0,2,29,0
G87,0,0,1,9,0,0,0,0,0,27,12,0,2,0,0,20,17,9,1,2,22,3,10,2,2,0,0,0,33,0
G88,0,0,0,13,0,0,0,0,0,25,4,0,2,0,0,11,21,4,0,0,25,5,17,2,5,0,0,3,40,1
G89,0,0,1,14,0,0,0,0,0,35,3,0,0,0,0,17,16,3,1,4,23,4,14,5,8,0,0,1,36,0
G90,0,0,1,13,0,0,0,0,0,29,7,0,2,0,0,23,19,7,6,0,18,9,15,4,7,0,0,3,27,0
G91,0,0,0,10,0,0,0,0,0,30,1,0,0,0,0,17,18,11,1,1,26,3,18,7,21,0,0,3,36,0
G92,0,0,1,12,0,0,0,0,0,26,4,0,1,0,0,19,24,8,4,4,33,6,18,14,38,0,0,2,45,1
G93,0,0,0,7,0,0,0,0,0,29,6,0,1,0,0,13,22,14,2,1,28,4,22,19,28,0,0,5,39,0
G94,0,0,1,9,0,0,0,0,0,33,5,0,4,0,0,22,20,7,3,3,20,4,15,38,45,0,0,2,29,0
G95,0,0,0,20,0,0,0,0,0,42,4,0,3,1,0,18,30,14,1,2,27,5,23,49,70,0,0,1,37,1
G96,0,0,0,14,0,0,0,0,0,29,1,0,7,1,0,19,15,7,1,3,29,4,26,93,78,1,0,1,44,2
G97,0,0,0,18,0,0,0,0,0,26,8,0,6,0,1,16,28,14,3,3,25,3,31,173,105,0,0,3,41,5
G98,0,0,2,16,0,0,0,0,0,30,3,0,3,2,0,14,22,13,8,5,29,3,33,226,135,1,0,0,37,2
G99,0,0,1,14,0,0,0,0,0,34,7,0,7,2,0,17,19,15,7,5,24,8,46,317,188,2,0,1,41,2
G100,0,0,0,12,0,0,0,0,0,33,4,1,14,1,0,16,25,13,13,4,25,6,46,401,187,2,0,3,40,1
G101,0,0,1,5,0,0,0,0,0,35,6,0,17,3,0,10,19,25,28,5,24,7,50,446,248,0,0,1,31,3
G102,0,0,0,10,0,0,0,0,0,44,2,0,35,4,0,13,19,38,39,0,39,5,82,556,288,0,0,2,47,0
G103,0,0,0,7,0,0,2,0,0,35,5,3,75,6,0,14,23,58,100,7,35,4,91,546,276,7,0,3,38,2
G104,0,0,0,13,0,0,3,0,0,40,6,1,109,7,0,10,17,69,183,10,25,6,112,535,377,11,0,0,40,8
G105,0,0,2,8,0,0,9,0,0,28,1,0,208,18,1,15,26,110,326,8,27,8,146,549,468,22,0,1,49,4
G106,0,0,1,16,0,0,19,1,1,31,4,2,363,41,0,13,27,134,524,12,19,6,155,577,591,44,0,3,44,21
G107,0,0,0,15,0,0,27,0,0,44,5,1,451,54,1,18,30,180,690,17,24,6,173,627,693,90,0,6,41,45
G108,0,0,1,9,0,0,44,0,0,41,2,0,552,76,0,13,21,179,751,22,12,3,188,624,676,122,0,3,43,66
G109,0,0,1,13,0,0,64,1,1,34,3,2,629,108,1,13,29,207,900,33,19,7,202,506,683,173,1,7,63,96
G110,0,0,0,7,0,0,106,0,0,40,6,5,694,130,1,13,30,187,761,60,23,8,181,415,609,243,1,0,72,164
G111,0,0,1,8,0,0,172,0,0,32,4,1,702,118,0,8,34,215,764,81,15,5,168,291,464,265,2,7,67,246
G112,0,0,0,9,0,0,168,0,1,22,6,2,668,149,1,10,47,188,657,107,25,4,161,237,359,395,3,4,83,297
G113,0,0,1,23,0,0,209,1,1,32,4,4,704,162,0,14,66,182,516,152,21,15,175,155,254,440,10,6,146,355
G114,0,0,1,13,0,0,269,0,2,37,4,4,627,217,1,18,75,153,373,170,21,10,165,110,223,502,9,5,144,450
G115,0,0,0,14,0,0,260,0,1,30,9,4,513,224,1,9,105,127,372,175,16,12,163,83,133,560,13,4,154,409
G116,0,0,0,9,0,0,264,0,3,29,6,3,458,194,2,22,109,92,226,209,10,15,162,45,97,572,21,5,186,396
G117,0,0,0,14,0,0,240,1,6,35,3,7,286,205,1,12,140,78,120,222,19,14,157,17,69,496,35,8,201,374
G118,0,0,0,16,0,0,265,0,5,39,4,7,150,200,2,17,216,62,64,213,19,17,158,8,32,562,39,4,256,374
G119,0,0,1,14,0,0,240,4,2,35,3,1,69,231,3,10,245,46,33,222,13,11,152,3,13,561,50,8,229,332
G120,0,0,1,10,0,0,272,3,2,32,3,9,49,271,3,14,251,26,11,290,19,19,115,3,8,538,80,5,242,389
G121,0,0,0,12,0,0,267,7,1,26,9,10,23,303,7,14,279,30,6,259,16,16,106,4,5,495,79,8,239,402
G122,2,0,0,14,0,0,296,7,2,28,8,13,5,313,2,17,312,20,4,260,20,14,93,3,1,421,88,5,210,327
G123,0,0,2,10,0,0,234,4,3,32,9,13,2,308,11,14,279,33,2,242,23,25,84,2,5,322,100,23,216,333
G124,1,0,0,18,0,0,236,9,4,42,23,25,3,321,13,15,265,20,2,214,25,51,67,2,0,232,106,12,222,276
G125,2,0,3,14,0,0,250,20,10,34,33,37,2,365,23,23,276,27,1,224,17,44,32,3,0,193,85,13,227,331
G126,4,0,0,15,0,0,273,28,9,35,35,33,2,362,31,30,271,30,1,189,20,62,31,2,1,153,88,18,199,289
G127,8,0,0,10,0,0,299,26,19,40,68,45,1,372,53,33,256,34,1,207,29,94,39,6,2,117,111,28,225,325
G128,9,0,2,13,0,1,341,38,25,33,82,45,2,360,84,46,203,27,2,191,22,114,41,5,2,104,122,32,223,310
G129,19,1,2,13,0,0,280,44,23,25,109,66,1,340,92,81,170,23,0,180,27,121,25,1,1,81,113,25,210,292
G130,24,0,1,17,0,0,272,59,39,38,138,58,0,278,158,107,116,16,4,139,27,180,28,0,1,44,101,44,181,269
G131,32,0,2,12,0,0,303,69,63,18,157,101,2,214,191,144,95,17,1,127,30,172,35,4,1,33,114,50,188,186
G132,60,0,2,18,0,0,292,93,80,37,159,136,0,166,251,220,64,12,1,142,18,211,31,1,0,22,108,73,134,167
G133,88,0,1,7,0,0,313,130,118,26,201,124,0,148,319,278,52,12,0,140,16,255,30,3,1,10,131,103,145,109
G134,119,3,1,18,0,2,336,166,186,23,215,126,1,119,421,403,33,17,0,144,26,267,44,3,2,4,124,146,131,76
G135,202,2,0,18,0,0,341,184,209,21,256,147,0,91,418,471,18,11,1,123,23,287,37,4,2,4,155,187,118,76
G136,280,1,1,7,0,2,311,212,259,42,218,149,3,82,489,453,21,19,1,146,27,278,39,4,2,4,178,224,84,40
G137,408,5,3,20,0,2,227,241,191,48,195,127,0,58,464,432,12,16,1,125,37,256,28,4,2,3,176,215,71,24
G138,562,15,0,12,0,0,176,231,199,39,185,148,0,32,373,391,19,23,0,123,44,222,32,2,2,3,164,227,67,9
G139,826,12,3,22,0,1,106,228,195,66,222,134,1,14,323,324,18,18,0,114,51,237,42,3,2,2,157,253,51,6
G140,981,33,0,14,0,1,80,264,200,65,251,138,2,7,302,296,19,16,0,129,69,223,38,2,0,4,171,305,42,0
G141,1122,81,1,14,0,2,58,372,223,71,297,119,1,8,275,266,18,25,0,97,93,239,39,1,1,1,184,297,41,0
G142,1015,106,3,19,0,4,42,380,219,82,271,125,2,1,254,235,11,14,0,88,106,295,31,5,1,1,198,348,46,1
G143,845,140,2,16,0,4,7,367,236,77,267,115,3,1,233,194,14,20,2,78,136,277,38,4,2,1,161,336,33,0
G144,595,205,4,18,0,3,11,348,217,118,258,128,1,0,245,183,12,22,0,38,163,340,21,3,0,0,179,349,33,1
G145,340,276,2,16,1,8,1,361,242,107,273,157,0,1,200,135,10,18,0,28,210,325,46,6,0,2,190,358,23,1
G146,225,330,1,19,3,4,0,353,270,130,304,179,2,1,158,116,11,25,1,19,284,345,28,3,0,2,187,343,32,0
G147,115,373,4,26,4,8,0,365,289,120,366,206,1,1,167,102,18,16,1,9,335,335,34,3,0,0,205,379,23,1
G148,61,429,9,39,7,11,0,322,253,130,391,242,2,2,149,82,15,24,1,8,426,314,37,3,1,1,171,320,21,0
G149,38,407,8,44,24,12,0,287,238,128,344,207,0,2,106,58,12,22,2,9,397,250,40,2,0,3,148,254,24,0
G150,13,346,16,46,47,11,0,265,211,107,280,235,1,1,77,35,21,21,0,4,371,173,38,6,2,3,145,222,25,0
G151,3,324,28,56,83,18,0,204,183,95,261,212,1,3,56,27,21,25,1,1,315,117,31,7,0,1,95,167,21,1
G152,1,319,41,93,138,9,0,190,164,74,216,264,1,2,35,16,20,19,2,2,240,108,30,2,2,0,85,94,21,0
G153,0,305,55,121,196,25,0,162,147,65,173,258,0,2,26,13,17,27,1,2,160,79,51,3,1,2,49,102,20,1
G154,0,366,75,133,242,35,0,123,124,62,149,276,1,0,24,17,19,24,0,2,125,66,28,0,0,0,56,77,33,0
G155,0,369,80,131,344,32,0,92,123,41,139,295,0,2,22,23,16,25,1,5,89,43,40,3,2,1,50,64,30,0
G156,0,335,104,125,317,48,0,71,75,40,92,264,1,1,18,10,19,28,0,4,62,39,35,2,3,0,48,55,21,0
G157,0,351,124,107,319,75,0,41,71,39,71,225,1,0,27,18,16,20,1,5,51,39,33,3,0,1,33,58,28,0
G158,0,276,147,119,370,131,0,23,48,23,41,205,1,0,20,15,27,30,0,5,44,33,41,3,2,0,44,29,27,0
G159,0,240,189,111,378,197,0,14,59,20,20,162,0,1,20,16,25,34,0,2,30,31,35,0,0,1,42,47,30,1
G160,0,246,198,145,415,329,0,4,38,30,11,144,1,1,27,16,16,38,1,4,21,23,41,3,0,3,42,32,23,1
G161,0,211,249,130,489,382,0,2,37,26,3,117,0,1,40,10,11,33,1,6,21,22,34,0,1,2,32,31,21,1
G162,0,180,265,164,563,468,0,2,42,44,6,80,0,2,31,17,21,34,0,3,26,27,29,2,2,3,31,34,32,0
G163,0,156,287,160,612,512,0,1,32,38,4,57,2,2,22,9,32,37,2,8,40,25,51,2,0,0,29,29,25,0
G164,0,116,312,194,588,552,0,4,52,21,3,42,0,2,33,14,33,34,0,3,24,24,39,4,1,1,28,35,29,0
G165,0,96,367,235,594,546,0,5,45,29,5,32,1,1,24,20,34,42,2,3,16,25,36,1,2,2,24,37,21,0
G166,0,75,462,273,568,511,1,3,43,25,7,37,1,2,27,15,32,47,2,6,22,25,38,0,0,2,33,32,27,0
